name,screen_name,twitter_link,followers_count,friends_count,lang,location,occupation,profile_image_url,url,updated_at
Lil Wayne WEEZY F,LilTunechi,https://twitter.com/LilTunechi,34933140,55,cs,,Rapper,http://pbs.twimg.com/profile_images/1044693697533804546/Z2MiD-wP_normal.jpg,"https://xn--ml8hpm.y.at,http://shoplilwayne.com",2022-05-12 00:51:05
Cardi B,iamcardib,https://twitter.com/iamcardib,22480963,288,en,In your mind rent free,Rapper,http://pbs.twimg.com/profile_images/1514137822357241861/bzeAEeXy_normal.jpg,http://KayFlock.lnk.to/ShakeIt,2022-05-12 09:50:34
Snoop Dogg,SnoopDogg,https://twitter.com/SnoopDogg,20082335,2768,en,LBC,Rapper,http://pbs.twimg.com/profile_images/1505032322717941761/EaFzE2yN_normal.jpg,https://deathrow.ffm.to/bodr,2022-05-12 13:51:26
J. Cole,JColeNC,https://twitter.com/JColeNC,14255711,413,en,,Rapper,http://pbs.twimg.com/profile_images/1509627549130932231/-6te0g0S_normal.jpg,http://www.dreamville.com,2022-05-12 14:50:11
50cent,50cent,https://twitter.com/50cent,12535075,32,en,Power Powder Respect Video 🔽,,http://pbs.twimg.com/profile_images/1226895461941940224/hBx6tZxz_normal.jpg,https://www.youtube.com/watch?v=f7uWr0_Gzuw,2022-05-11 13:51:07
Kendrick Lamar,kendricklamar,https://twitter.com/kendricklamar,11801829,509,en,,Rapper,http://pbs.twimg.com/profile_images/1103764272654442496/wcNdeqop_normal.jpg,http://oklama.com/,2022-05-12 14:50:11
Gucci Mane,gucci1017,https://twitter.com/gucci1017,9341702,1,en,EAST ATLANTA,Rapper,http://pbs.twimg.com/profile_images/1520041574444548097/fCgs0LTK_normal.jpg,https://poohshiesty.lnk.to/SSCertified,2022-05-11 22:50:44
Chance The Rapper,chancetherapper,https://twitter.com/chancetherapper,8111536,3122,en,The House of Kicks,Rapper,http://pbs.twimg.com/profile_images/1507521162435346440/Q5zyy8XA_normal.jpg,"http://ChanceStuff.com,https://m.youtube.com/watch?v=qb2WxKdXcxQ",2022-05-12 12:50:26
IGGY AZALEA,IGGYAZALEA,https://twitter.com/IGGYAZALEA,7641830,1427,en,,Rapper,http://pbs.twimg.com/profile_images/1516181896421515266/JRiY6SnO_normal.jpg,,2022-05-12 07:50:51
FUTURE/FREEBANDZ,1future,https://twitter.com/1future,7301681,769,en,,Rapper,http://pbs.twimg.com/profile_images/1518679204044361728/JiB7O0rw_normal.jpg,"https://future.lnk.to/INEVERLIKEDYOU,http://Shop.freebandz.com",2022-05-12 10:50:37
