name,screen_name,twitter_link,followers_count,friends_count,lang,location,occupation,profile_image_url,url,updated_at
Cristiano Ronaldo,Cristiano,https://twitter.com/Cristiano,100121453,60,en,,Soccer player,http://pbs.twimg.com/profile_images/1157313327867092993/a09TxL_1_normal.jpg,"http://www.facebook.com/cristiano,http://www.cristianoronaldo.com/terms",2022-05-12 10:50:37
Neymar Jr,neymarjr,https://twitter.com/neymarjr,56758843,627,pt,"Paris, France",Soccer player,http://pbs.twimg.com/profile_images/1484231681112522757/KFpadhNu_normal.jpg,http://www.neymarjr.com,2022-05-12 13:50:26
Mesut Özil,MesutOzil1088,https://twitter.com/MesutOzil1088,26247486,172,de,"Turkey, Istanbul",Soccer player,http://pbs.twimg.com/profile_images/1448899313111818240/cUYzEMoW_normal.jpg,https://www.m10streetwear.com/,2022-05-12 13:51:23
Andrés Iniesta,andresiniesta8,https://twitter.com/andresiniesta8,25317838,117,ja,,Soccer player,http://pbs.twimg.com/profile_images/1514902757131448325/iC2caCtz_normal.jpg,,2022-05-12 05:50:55
Ronaldinho Gaúcho,10Ronaldinho,https://twitter.com/10Ronaldinho,20715643,143,pt,"Rio de Janeiro, Brasil",Soccer player,http://pbs.twimg.com/profile_images/1509267865932898312/lPNCBZQg_normal.jpg,https://launchpad.p00ls.io/ron,2022-05-12 03:51:01
Sergio Ramos,SergioRamos,https://twitter.com/SergioRamos,19149606,738,,"Madrid, Spain",Soccer player,http://pbs.twimg.com/profile_images/1511361408813969410/PblZYZsj_normal.jpg,http://www.instagram.com/sergioramos,2022-05-12 13:51:21
Gareth Bale,GarethBale11,https://twitter.com/GarethBale11,18862515,139,en,,Soccer player,http://pbs.twimg.com/profile_images/1405290638728335362/nWNAv9gu_normal.jpg,"http://www.facebook.com/Bale,http://Instagram.com/garethbale11",2022-05-11 11:50:53
Wayne Rooney,WayneRooney,https://twitter.com/WayneRooney,17246391,537,en,,Soccer player,http://pbs.twimg.com/profile_images/1457742713479213078/HyAwJFs6_normal.jpg,"http://www.officialwaynerooney.com,http://instagram.com/WayneRooney",2022-05-12 04:50:36
Luis Suarez,LuisSuarez9,https://twitter.com/LuisSuarez9,17091854,93,es,Spain,Soccer player,http://pbs.twimg.com/profile_images/1317175422304571393/tLss6h3j_normal.jpg,http://www.complejosuarez.com,2022-05-12 10:50:41
Mohamed Salah,MoSalah,https://twitter.com/MoSalah,16300026,151,ar,"Liverpool, England",Soccer player,http://pbs.twimg.com/profile_images/1413262723312402432/vYWQ8LL8_normal.jpg,,2022-05-12 11:50:35
Karim Benzema,Benzema,https://twitter.com/Benzema,15408823,91,es,,Soccer player,http://pbs.twimg.com/profile_images/1401562839614210052/yo9BeNMD_normal.jpg,,2022-05-11 16:51:00
David de Gea,D_DeGea,https://twitter.com/D_DeGea,13892884,243,en,,Soccer player,http://pbs.twimg.com/profile_images/1471229198111055878/qTo-1fDL_normal.jpg,http://daviddegea.com,2022-05-12 04:50:36
Paul Pogba,paulpogba,https://twitter.com/paulpogba,10098898,15,en,,Soccer player,http://pbs.twimg.com/profile_images/1018575803053899776/Xf2KmKQg_normal.jpg,http://cryptodragons.com/,2022-05-11 16:51:00
Toni Kroos,ToniKroos,https://twitter.com/ToniKroos,10079592,177,de,"Madrid, Spanien",Soccer player,http://pbs.twimg.com/profile_images/1144875187508338688/0MtdI4-f_normal.jpg,http://toni-kroos.com,2022-05-11 13:51:07
Cesc Fàbregas Soler,cesc4official,https://twitter.com/cesc4official,10021111,403,en,London,Soccer player,http://pbs.twimg.com/profile_images/1187469118812938240/U7QFmiV-_normal.jpg,http://www.cescfabregas.com,2022-05-12 03:50:24
Antoine Griezmann,AntoGriezmann,https://twitter.com/AntoGriezmann,8361344,54,fr,,Soccer player,http://pbs.twimg.com/profile_images/1435625193603489797/QqDnuy2v_normal.jpg,https://www.facebook.com/antogriezmann,2022-05-11 22:50:24
Zlatan Ibrahimović,Ibra_official,https://twitter.com/Ibra_official,8094482,8,en,,Soccer player,http://pbs.twimg.com/profile_images/1496109674147500038/aI2j5as8_normal.jpg,http://adlibr.is/adrenalina,2022-05-12 14:50:07
Kylian Mbappé,KMbappe,https://twitter.com/KMbappe,7877349,107,und,"Paris, France",Soccer player,http://pbs.twimg.com/profile_images/1456279146288619522/qdrDtPeH_normal.jpg,http://Instagram.com/k.mbappe,2022-05-12 11:51:02
Eden Hazard,hazardeden10,https://twitter.com/hazardeden10,7222661,194,,,Soccer player,http://pbs.twimg.com/profile_images/1423723082339033096/inTD_FY1_normal.jpg,,2022-05-10 16:51:01
Marcus Rashford MBE,MarcusRashford,https://twitter.com/MarcusRashford,5505159,88,en,,Soccer player,http://pbs.twimg.com/profile_images/1257623233995714560/Sbbpku2f_normal.jpg,https://lnk.to/BreakfastClubAdventures,2022-05-12 02:51:15
Chino y Nacho,ChinoyNacho,https://twitter.com/ChinoyNacho,4519540,190,,,Soccer player,http://pbs.twimg.com/profile_images/1340404730158309383/rfCmUw3D_normal.jpg,"https://open.spotify.com/playlist/20SSqsCWj5rDBPIHZm8oSm?si=AfOte468Q5eyjmN785QdxA,https://youtu.be/jtrktn1LVjc",2022-05-11 05:50:30
Thiago Alcantara,Thiago6,https://twitter.com/Thiago6,4231184,173,en,"Liverpool, England",Soccer player,http://pbs.twimg.com/profile_images/1069931444531793921/GUFAdHRN_normal.jpg,,2022-05-11 21:51:13
Alex Morgan,alexmorgan13,https://twitter.com/alexmorgan13,3846998,506,en,,Soccer player,http://pbs.twimg.com/profile_images/1116860131571052544/_j5IzTrj_normal.jpg,http://AlexMorganSoccer.com,2022-05-12 11:50:52
Fernando Torres,Torres,https://twitter.com/Torres,3636612,212,en,,Soccer player,http://pbs.twimg.com/profile_images/1210882991364423681/Pxky170e_normal.jpg,"http://www.fernando9torres.com/,https://Instagram.com/fernandotorres,https://www.facebook.com/Torres",2022-05-11 18:50:52
Harry Kane,HKane,https://twitter.com/HKane,3584158,229,en,London,Soccer player,http://pbs.twimg.com/profile_images/1437423171578236933/nRq0JTH3_normal.jpg,http://www.ck66.co.uk,2022-05-12 02:51:15
Mario Balotelli,FinallyMario,https://twitter.com/FinallyMario,3525723,64,,,Soccer player,http://pbs.twimg.com/profile_images/1176051613041082369/vL1scR-c_normal.jpg,,2022-05-12 03:50:24
Riyad Mahrez,Mahrez22,https://twitter.com/Mahrez22,3346232,100,,"Manchester, England",Soccer player,http://pbs.twimg.com/profile_images/1501694656685486082/TGscLa-P_normal.jpg,https://www.instagram.com/riyadmahrez26.7,2022-05-10 10:50:13
Kevin De Bruyne,DeBruyneKev,https://twitter.com/DeBruyneKev,3303899,300,en,,Soccer player,http://pbs.twimg.com/profile_images/1511458046895136774/IeyYTxsB_normal.jpg,,2022-05-12 05:50:38
Aaron Ramsey,aaronramsey,https://twitter.com/aaronramsey,3257081,102,en,,Soccer player,http://pbs.twimg.com/profile_images/1150668647934910464/gdOjdKoX_normal.jpg,http://www.aaronramseyofficial.com,2022-05-11 11:50:53
Raheem Sterling,sterling7,https://twitter.com/sterling7,3102377,365,en,"Manchester, England",Soccer player,http://pbs.twimg.com/profile_images/1471887801855655947/Pgec7fel_normal.jpg,,2022-05-11 00:51:05
Virgil van Dijk,VirgilvDijk,https://twitter.com/VirgilvDijk,2917195,255,en,,Soccer player,http://pbs.twimg.com/profile_images/1485018147233181700/RiOqjYwT_normal.jpg,,2022-05-12 08:51:01
Bruno Fernandes,B_Fernandes8,https://twitter.com/B_Fernandes8,2864248,44,en,"Manchester, England",Soccer player,http://pbs.twimg.com/profile_images/1421602708772081668/vlWOX6iN_normal.jpg,,2022-05-11 19:11:41
César Azpilicueta,CesarAzpi,https://twitter.com/CesarAzpi,2684844,246,,London,Soccer player,http://pbs.twimg.com/profile_images/1469385994336149507/JpPqx0r4_normal.jpg,"http://www.cesarazpi.com,http://Instagram.com/cesarazpi/",2022-05-12 04:51:06
Giorgio Chiellini,chiellini,https://twitter.com/chiellini,2611773,254,it,Torino,Soccer player,http://pbs.twimg.com/profile_images/1400729277100920833/ROmyqLIA_normal.jpg,,2022-05-12 03:50:24
Jérôme Boateng,JeromeBoateng,https://twitter.com/JeromeBoateng,2546211,133,en,Munich,Soccer player,http://pbs.twimg.com/profile_images/1408076777696731140/xeCfwkh0_normal.jpg,"http://jeromeboateng.com,http://instagram.com/jeromeboateng",2022-05-10 09:50:54
Luka Modrić,lukamodric10,https://twitter.com/lukamodric10,2502795,5,en,,Soccer player,http://pbs.twimg.com/profile_images/1501988258078674950/_5xMT_RA_normal.jpg,,2022-05-12 02:50:50
Jordi Alba,JordiAlba,https://twitter.com/JordiAlba,2462759,270,,"Barcelona, Spain",Soccer player,http://pbs.twimg.com/profile_images/951404302509199360/ew_KBsrw_normal.jpg,https://www.jordialba.com/,2022-05-12 10:50:41
Anthony Martial,AnthonyMartial,https://twitter.com/AnthonyMartial,2461931,60,,,Soccer player,http://pbs.twimg.com/profile_images/961161109578440704/o5Cxbpo6_normal.jpg,http://www.anthonymartial-official.com,2022-05-11 13:51:07
Memphis Depay,Memphis,https://twitter.com/Memphis,2343707,53,en,Worldwide,Soccer player,http://pbs.twimg.com/profile_images/1523716576175869952/WqfTT12-_normal.jpg,http://www.memphisdepay.com,2022-05-12 07:11:11
Paulo Dybala,PauDybala_JR,https://twitter.com/PauDybala_JR,2237875,215,,,Soccer player,http://pbs.twimg.com/profile_images/1268940360513916929/cDsCB7Mx_normal.jpg,,2022-05-11 23:50:32
Trent Alexander-Arnold,TrentAA,https://twitter.com/TrentAA,2191623,95,en,,Soccer player,http://pbs.twimg.com/profile_images/1460138366058565642/jM3bc8GW_normal.jpg,,2022-05-12 05:50:48
Robert Lewandowski,lewy_official,https://twitter.com/lewy_official,2011905,55,en,,Soccer player,http://pbs.twimg.com/profile_images/1437890233417220101/FAlresZr_normal.jpg,,2022-05-11 19:51:10
Fernandinho,fernandinho_br,https://twitter.com/fernandinho_br,1967529,,,Brasil,Soccer player,http://pbs.twimg.com/profile_images/1501625907890561029/I1tFy6Zb_normal.jpg,"http://www.fazchover.com.br,http://linktr.ee/ministeriofern",2022-05-09 11:50:48
Harry Maguire,HarryMaguire93,https://twitter.com/HarryMaguire93,1887466,301,,"England, United Kingdom",Soccer player,http://pbs.twimg.com/profile_images/1436267922398326785/zyarc71a_normal.jpg,,2022-05-12 08:50:58
Felipe Melo,_felipemelo_,https://twitter.com/_felipemelo_,1886665,89,pt,"Rio de Janeiro, Brasil",,http://pbs.twimg.com/profile_images/1471423619200868358/Pc1Dep4m_normal.jpg,https://m.youtube.com/channel/UCwDjd2k53IvQoeigPkuUgyw,2022-05-11 18:50:38
Leroy Sané,leroy_sane,https://twitter.com/leroy_sane,1861116,48,de,"München, Bayern",Soccer player,http://pbs.twimg.com/profile_images/1497292588126289921/srT2CXKK_normal.jpg,,2022-05-11 00:51:05
James Milner,JamesMilner,https://twitter.com/JamesMilner,1748792,75,en,"Liverpool, England",Soccer player,http://pbs.twimg.com/profile_images/1286227359276904448/ZY7zfWo6_normal.jpg,"http://www.justgiving.com/50JMF,https://amzn.to/2oMiCcP,https://amzn.to/2LTURbF",2022-05-11 19:51:10
Erling Haaland,ErlingHaaland,https://twitter.com/ErlingHaaland,1743123,7,,,Soccer player,http://pbs.twimg.com/profile_images/1495507622405058571/yi2v-x0g_normal.jpg,,2022-05-12 08:50:18
